Program Name,Core Hours,Module,Script,Examples,Test Case,Tested,Link,Type,Description,Notes
CESM,102783573,,,,,,https://www.cesm.ucar.edu/,Climate Science,Community Earth System Model tracking global climate changes over long periods.,Non standard build system
GROMACS,41253243,Y,Y,Y,,,https://www.gromacs.org/,Biomolecular Molecular Dynamics,Versatile molecular dynamics package optimized for lipid biomolecules and proteins.
SpEC,30294875,,,,,,https://www.black-holes.org/code/SpEC.html,Astrophysics / General Relativity Simulations,Spectral Einstein Code simulating compact binary mergers and black hole mechanics.
Chroma,25112325,,Y - Created,,,,https://github.com/JeffersonLab/chroma,Lattice QCD Particle Physics,Tool box package for data structures in high-performance lattice Quantum Chromodynamics.
VASP,25079310,Y,,Y,,,https://www.vasp.at/,Computational Materials Science (DFT),Vienna Ab-initio Simulation Package for electronic structure and quantum molecular dynamics.
QE,23670676,Y,Y - Created,Y,,,https://www.quantum-espresso.org/,Computational Materials Science (DFT),Quantum ESPRESSO suite for electronic-structure calculations and materials modeling.
NAMD,18406414,Y,,,,,https://www.ks.uiuc.edu/Research/namd/,Molecular Dynamics / Biomolecular Simulation,High-performance scalable biomolecular molecular dynamics simulator.
EPW,17996761,,Y,,,,https://epw-code.org/,Computational Materials Science,Electron-Phonon Wannier interpolator mapping electron-phonon interactions.
Cactus,16724727,,,,,,https://cactuscode.org/,Relativistic Astrophysics Framework,Extensible modular framework managing numerical relativity grid layouts.,Non standard build system
rockstar-galaxies,13081300,,,,,,https://bitbucket.org/gfcstanford/rockstar,Astrophysics / Galaxy Halo Finder,Robust algorithm identifying dark matter halos and subhalos within massive datasets.
CGS,8349597,,,,,,,Core Grid Solution,Core grid solution utilities handling large-scale vector geometries.
BerkeleyGW,8026459,,Y,,,,https://berkeleygw.org/,Computational Materials Science,Many-body perturbation theory package calculating electron excited states.
hmc_tm,7188585,,,,,,https://github.com/etmc/tmLQCD,Lattice QCD Simulation Kernel,Hybrid Monte Carlo execution kernel optimized for twisted mass fermions.
gene_frontera,6221717,,,,,,https://www.ipp.mpg.de/gene,Plasma Physics / Gyrokinetic Simulation,Frontera-optimized gyrokinetic solver exploring magnetic confinement fusion turbulence.
SWMF,5547103,,,,,,https://clasp.engin.umich.edu/research/space-weather-modeling-framework/,Space Weather / Space Physics,Space Weather Modeling Framework connecting solar magnetosphere and ionosphere models.
GIZMO,5491305,,,,,,http://www.tapir.caltech.edu/~phopkins/Site/GIZMO.html,Computational Astrophysics & Fluid Dynamics,Multi-method fluid dynamics and magnetohydrodynamics cosmological simulator.
overlap_curseq,5295417,,,,,,,Lattice QCD Operations,Sequence execution utility engine used for overlap fermion processing matrices.
Enzo-E,3766218,,,,,,https://enzo-e.readthedocs.io/,Computational Astrophysics,Charm++-based highly scalable grid astrophysical cosmology solver.
ENZO,3766218,,,,,,https://enzo-project.org/,Computational Astrophysics / Cosmology,Block-structured adaptive mesh refinement code simulating cosmological structure formation.
